Pick,Player,Sleeper position,Consensus ADP order (not decimal ADP),Positional ADP order among ECR players,FantasyPros PPR ECR,RotoBaller PPR rank,CBS PPR rank,Highest ECR alternatives at position still available,Public PPR season projection (blank unavailable),Bye (FantasyPros)
131,Rashid Shaheed,WR,146,56,143,132,172,Jalen Coker; Deebo Samuel Sr.; Denzel Boston,,11
132,Jason Myers,K,137,4,198,178,,Cameron Dicker; Ka'imi Fairbairn; Cam Little,,11
133,Brian Robinson,RB,162,52,168,158,145,Tyjae Spears; Dylan Sampson; Keaton Mitchell,,11
134,Keaton Mitchell,RB,161,51,146,136,147,Tyjae Spears; Dylan Sampson; Tank Bigsby,,7
135,Ja'Kobi Lane,WR,175,61,206,180,164,Jalen Coker; Deebo Samuel Sr.; Denzel Boston,,13
136,Jalen Coker,WR,141,54,125,124,107,Deebo Samuel Sr.; Denzel Boston; Tre Tucker,,5
137,Deebo Samuel,WR,134,53,142,135,118,Denzel Boston; Tre Tucker; Adonai Mitchell,,8
138,Houston Texans,DEF,103,1,155,157,,Denver Broncos; Seattle Seahawks; Philadelphia Eagles,,8
139,Tyjae Spears,RB,143,47,137,133,126,Dylan Sampson; Tank Bigsby; Alvin Kamara,,9
140,Cam Little,K,150,5,195,174,,Cameron Dicker; Ka'imi Fairbairn; Eddy Pineiro,,7
141,Cameron Dicker,K,135,3,189,182,,Ka'imi Fairbairn; Eddy Pineiro; Tyler Loop,,7
142,Chris Bell,WR,244,80,217,217,154,Denzel Boston; Tre Tucker; Adonai Mitchell,,6
143,Seattle Seahawks,DEF,123,4,169,159,,Denver Broncos; Philadelphia Eagles; Pittsburgh Steelers,,11
144,Kyler Murray,QB,138,17,114,116,135,Brock Purdy; Patrick Mahomes II; Jared Goff,,6
145,Ka'imi Fairbairn,K,133,2,191,173,,Eddy Pineiro; Tyler Loop; Jake Bates,,8
146,Jake Bates,K,160,6,215,212,,Eddy Pineiro; Tyler Loop; Evan McPherson,,6
147,Juwan Johnson,TE,149,16,129,129,148,Isaiah Likely; Mark Andrews; Chig Okonkwo,,8
148,Tyrone Tracy,RB,192,57,166,223,161,Dylan Sampson; Tank Bigsby; Alvin Kamara,,8
149,Detroit Lions,DEF,179,12,226,358,,Denver Broncos; Philadelphia Eagles; Pittsburgh Steelers,,6
150,Denver Broncos,DEF,114,3,165,176,,Philadelphia Eagles; Pittsburgh Steelers; Minnesota Vikings,,10
151,Cyrus Allen,WR,202,66,260,213,165,Denzel Boston; Tre Tucker; Adonai Mitchell,,5
152,Tank Bigsby,RB,165,53,158,140,137,Dylan Sampson; Alvin Kamara; Braelon Allen,,10
153,Isaiah Likely,TE,105,11,119,137,83,Mark Andrews; Chig Okonkwo; Brenton Strange,,8
154,Kaelon Black,RB,195,58,213,214,146,Dylan Sampson; Alvin Kamara; Braelon Allen,,8
155,Jacksonville Jaguars,DEF,164,10,188,195,,Philadelphia Eagles; Pittsburgh Steelers; Minnesota Vikings,,7
156,Travis Hunter,DB,259,85,200,228,191,Denzel Boston; Tre Tucker; Adonai Mitchell,,7
157,Philadelphia Eagles,DEF,139,5,174,249,,Pittsburgh Steelers; Minnesota Vikings; New England Patriots,,10
158,Tyler Loop,K,183,10,208,255,,Eddy Pineiro; Evan McPherson; Cairo Santos,,13
159,Emmett Johnson,RB,185,56,172,169,138,Dylan Sampson; Alvin Kamara; Braelon Allen,,5
160,Dylan Sampson,RB,173,55,144,184,141,Alvin Kamara; Braelon Allen; Ray Davis,,11
161,Baltimore Ravens,DEF,155,8,192,204,,Pittsburgh Steelers; Minnesota Vikings; New England Patriots,,13
162,Matthew Stafford,QB,98,12,104,94,124,Brock Purdy; Patrick Mahomes II; Jared Goff,,11
163,Harrison Mevis,K,163,7,230,276,,Eddy Pineiro; Evan McPherson; Cairo Santos,,11
164,Kayshon Boutte,WR,196,64,161,161,153,Denzel Boston; Tre Tucker; Adonai Mitchell,,8
165,Brock Purdy,QB,113,14,92,88,100,Patrick Mahomes II; Jared Goff; Jordan Love,310.9,8
166,Pittsburgh Steelers,DEF,151,6,184,203,,Minnesota Vikings; New England Patriots; Los Angeles Chargers,,9
167,Ray Davis,RB,227,62,180,166,159,Alvin Kamara; Braelon Allen; Kimani Vidal,,7
168,Nicholas Singleton,RB,239,65,212,253,192,Alvin Kamara; Braelon Allen; Kimani Vidal,,9
169,Minnesota Vikings,DEF,159,9,186,202,,New England Patriots; Los Angeles Chargers; Kansas City Chiefs,,6
170,Baker Mayfield,QB,142,18,118,104,170,Patrick Mahomes II; Jared Goff; Jordan Love,,10
171,Evan McPherson,K,186,11,221,258,,Eddy Pineiro; Cairo Santos; Andy Borregales,,6
172,Los Angeles Chargers,DEF,170,11,190,197,,New England Patriots; Kansas City Chiefs; Green Bay Packers,,7
173,Patrick Mahomes,QB,111,13,102,100,133,Jared Goff; Jordan Love; Tyler Shough,305.8,5
174,Alvin Kamara,RB,158,50,160,220,163,Braelon Allen; Kimani Vidal; Isiah Pacheco,,8
175,Harrison Butker,K,177,8,253,275,,Eddy Pineiro; Cairo Santos; Andy Borregales,,5
176,Chris Boswell,K,207,15,255,267,,Eddy Pineiro; Cairo Santos; Andy Borregales,,9
177,Will Reichard,K,187,12,274,272,,Eddy Pineiro; Cairo Santos; Andy Borregales,,6
178,Jared Goff,QB,126,16,103,103,111,Jordan Love; Tyler Shough; Malik Willis,,6
179,Tre' Harris,WR,241,77,175,162,181,Denzel Boston; Tre Tucker; Adonai Mitchell,,7
180,Jerry Jeudy,WR,181,62,162,192,198,Denzel Boston; Tre Tucker; Adonai Mitchell,,11
